edge_mode	model	subset	metric	mean	stddev
edge	BRISKNet	top20_benign	iauc10_err	77.82487450762237	29.967974448485535
edge	BRISKNet	top20_benign	peak_err	16.308489513397216	9.10172395126947
edge	BRISKNet	top20_benign	ttpeak_err_sec	17.892977190876355	3.771622387822963
edge	BRISKNet	top10_malignant	curve_corr	0.9918270716397463	0.0030479164563120493
edge	BRISKNet	top10_malignant	curve_mae	15.34314521153768	7.099571878703947
edge	BRISKNet	top10_malignant	early_corr	0.9859099251893929	0.011264594216577425
edge	BRISKNet	top10_malignant	early_mae	15.983958435058593	7.958870834560519
edge	BRISKNet	top10_malignant	ttae_sec	5.174218512688319	1.7643267858532787
edge	BRISKNet	top10_malignant	wash_in_slope_err	0.20276982725620676	0.17721852665887342
edge	BRISKNet	top10_malignant	iauc10_err	145.65836989673411	64.75515094191259
edge	BRISKNet	top10_malignant	peak_err	26.313159370422362	11.49778602828632
edge	BRISKNet	top10_malignant	ttpeak_err_sec	22.727133861893005	10.635189822860577
edge	BRISKNet	top10_benign	curve_corr	0.9817923726307021	0.009816536166588225
edge	BRISKNet	top10_benign	curve_mae	8.451751756668092	4.583039901253666
edge	BRISKNet	top10_benign	early_corr	0.9838247417575783	0.010105263697422111
edge	BRISKNet	top10_benign	early_mae	7.7682055830955505	5.2939549882105545
edge	BRISKNet	top10_benign	ttae_sec	9.482142857142858	4.778579436252099
edge	BRISKNet	top10_benign	wash_in_slope_err	0.1051904461032845	0.09230766910204208
edge	BRISKNet	top10_benign	iauc10_err	78.45083833024611	30.104329111960755
edge	BRISKNet	top10_benign	peak_err	17.758890199661256	10.022111483670832
edge	BRISKNet	top10_benign	ttpeak_err_sec	18.500000000000007	4.860730467766354
edge	GRASP	all_pixels_malignant	curve_corr	0.976957489995163	0.01903206616938984
edge	GRASP	all_pixels_malignant	curve_mae	6.016011786460877	3.844572437650279
edge	GRASP	all_pixels_malignant	early_corr	0.9282202664498311	0.0606887187682052
edge	GRASP	all_pixels_malignant	early_mae	6.705870421727498	4.3506952948820645
edge	GRASP	all_pixels_malignant	ttae_sec	3.1766551016329876	2.2127300038733937
edge	GRASP	all_pixels_malignant	wash_in_slope_err	0.2072752007889407	0.15756065816967177
edge	GRASP	all_pixels_malignant	iauc10_err	45.225746487356055	28.8181845181291
edge	GRASP	all_pixels_malignant	peak_err	10.125434398651123	6.130585379993321
edge	GRASP	all_pixels_malignant	ttpeak_err_sec	11.376914784551024	6.150143197383218
edge	GRASP	all_pixels_benign	curve_corr	0.9864551802302666	0.009593377640838356
edge	GRASP	all_pixels_benign	curve_mae	4.5243203997612	2.83312584478224
edge	GRASP	all_pixels_benign	early_corr	0.9481846021783813	0.04627091519430848
edge	GRASP	all_pixels_benign	early_mae	4.793071186542511	3.418670684277691
edge	GRASP	all_pixels_benign	ttae_sec	3.3428533937969673	2.9081060495507067
edge	GRASP	all_pixels_benign	wash_in_slope_err	0.10278026816538792	0.08966017245533399
edge	GRASP	all_pixels_benign	iauc10_err	25.730783476007502	20.5763629907346
edge	GRASP	all_pixels_benign	peak_err	9.48218822479248	5.69646477899828
edge	GRASP	all_pixels_benign	ttpeak_err_sec	6.0193315235292335	4.264565049727569
edge	GRASP	top20_malignant	curve_corr	0.9992100044804121	0.0003886253255194549
edge	GRASP	top20_malignant	curve_mae	10.282464822133383	5.957257934335104
edge	GRASP	top20_malignant	early_corr	0.997968552546061	0.0014792569376350629
edge	GRASP	top20_malignant	early_mae	11.017480754852295	6.592413584071723
edge	GRASP	top20_malignant	ttae_sec	0.6679247336350976	0.7392146791419717
edge	GRASP	top20_malignant	wash_in_slope_err	0.2240857866538143	0.1413988884907815
edge	GRASP	top20_malignant	iauc10_err	67.59945184654796	39.589798624965525
edge	GRASP	top20_malignant	peak_err	17.68316281636556	9.752383557372221
