comparison_group,comparison,method_a,method_b,exp_a,exp_b,spf,log_source_a,log_source_b,metric_family,metric,p_adj_bh,n_valid,n_nan,mean_a,mean_b,mean_diff,ci_low,ci_high,W_stat,p_raw,effect_r,direction
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_36spf_sampling_arrshift_fop,GRASP,36,test_inference_logs_mri_journal_revised.json,—,temporal,early_corr,0.5054443359374999,15,10,0.9971876000000001,0.9963528000000001,0.0008347999999999134,-0.002048198863875095,0.0037177988638750995,45.0,0.42120361328125,0.625,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_36spf_sampling_arrshift_fop,GRASP,36,test_inference_logs_mri_journal_revised.json,—,temporal,early_mae,0.00026157924107142856,15,10,1.0033016000000001,0.8782994000000001,0.12500220000000006,0.07009332696184423,0.1799110730381558,0.0,6.103515625e-05,1.0,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_36spf_sampling_arrshift_fop,GRASP,36,test_inference_logs_mri_journal_revised.json,—,temporal,iauc10_err,0.00026157924107142856,15,10,28.991212666666666,24.586391600000002,4.404821066666663,1.7522205878907058,7.057421545442628,0.0,6.103515625e-05,1.0,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_36spf_sampling_arrshift_fop,GRASP,36,test_inference_logs_mri_journal_revised.json,—,temporal,ttae_sec,0.07135710922106629,15,10,0.9570144666666667,0.46416799999999997,0.4928464666666667,-0.24071997346321478,1.226412906796548,4.0,0.0499499764547464,0.9666666666666667,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_36spf_sampling_arrshift_fop,GRASP,36,test_inference_logs_mri_journal_revised.json,—,temporal,wash_in_slope_err,0.6917161207932692,15,10,0.009796266666666666,0.009290933333333334,0.0005053333333333316,-0.0013437294049587867,0.0023543960716254533,50.0,0.5994873046875,0.5833333333333333,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_36spf_sampling_arrshift_fop,GRASP,36,test_inference_logs_mri_journal_revised.json,—,mc,dc_mae,1.0927518208821615e-07,25,0,0.52169716,0.52331372,-0.0016165599999999891,-0.0019474194639383738,-0.00128570053606164,0.0,5.960464477539063e-08,1.0,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_36spf_sampling_arrshift_fop,GRASP,36,test_inference_logs_mri_journal_revised.json,—,mc,ssdu_nmse,2.384185791015625e-07,23,2,0.40814013043478264,0.44890995652173915,-0.04076982608695651,-0.04479423661190838,-0.03674541556200465,0.0,2.384185791015625e-07,1.0,a_better
accel_sweep,SSDU_vs_GRASP,SSDU,GRASP,ssdu_8spf_sampling,GRASP,8,test_inference_logs_mri_journal_revised.json,—,spatial,ssim,7.152557373046875e-08,25,0,0.80444644,0.9281067199999999,-0.12366027999999996,-0.1395839604797501,-0.10773659952024989,0.0,5.960464477539063e-08,1.0,b_better
accel_sweep,SSDU_vs_GRASP,SSDU,GRASP,ssdu_8spf_sampling,GRASP,8,test_inference_logs_mri_journal_revised.json,—,spatial,psnr,7.152557373046875e-08,25,0,28.862056640000006,30.69241512,-1.830358479999994,-2.082196816979249,-1.5785201430207505,0.0,5.960464477539063e-08,1.0,b_better
accel_sweep,SSDU_vs_GRASP,SSDU,GRASP,ssdu_8spf_sampling,GRASP,8,test_inference_logs_mri_journal_revised.json,—,spatial,lpips,7.152557373046875e-08,25,0,0.10859448,0.0323336,0.07626088,0.07015117577914068,0.0823705842208593,0.0,5.960464477539063e-08,1.0,b_better
